,Синоптический индекс станции,Год по Гринвичу,Месяц по Гринвичу,День по Гринвичу,Срок по Гринвичу,Год источника (местный),Месяц источника (местный),День источника (местный),Срок источника,Номер срока в сутках по поясному декретному зимнему времени (ПДЗВ),Время местное,Номер часового пояса,Начало метеорологических суток по ПДЗВ,Горизонтальная видимость,Признак качества,Признак наличия знака «>»,Общее количество облачности,Признак качества0,Количество облачности нижнего яруса,Признак качества1,Форма облаков верхнего яруса,Признак качества2,Форма облаков среднего яруса,Признак качества3,Форма облаков вертикального развития,Признак качества4,Слоистые и слоисто-кучевые облака,Признак качества5,"Слоисто-дождевые, разорвано-дождевые облака",Признак качества6,Высота нижней границы облачности,Признак качества7,Признак способа определения высоты нижней границы облачности,Признак наличия облачности ниже уровня станции,Признак качества8,Погода между сроками,Признак качества9,Погода в срок наблюдения,Признак качества10,Направление ветра,Признак качества11,Средняя скорость ветра,Признак качества12,Признак наличия знака «>»13,Максимальная скорость ветра,Признак качества14,Признак наличия знака «>»15,Сумма осадков за период между сроками,Признак качества16,Температура поверхности почвы,Признак качества17,Минимальная температура поверхности почвы,Признак качества18,Минимальная температура поверхности почвы между сроками,Признак качества19,Максимальная температура поверхности почвы между сроками,Признак качества20,Температура поверхности почвы по максимальному термометру после встряхивания,Признак качества21,Температура воздуха по сухому термометру,Признак качества22,Температура воздуха по смоченному термометру,Признак качества23,Признак наличия льда на батисте,Температура воздуха по спирту минимального термометра,Признак качества24,Минимальная температура воздуха между сроками,Признак качества25,Максимальная температура воздуха между сроками,Признак качества26,Температура воздуха по максимальному термометру после встряхивания,Признак качества27,Парциальное давление водяного пара,Признак качества28,Указатель точности измерения элемента,Относительная влажность воздуха,Признак качества29,Дефицит насыщения водяного пара,Признак качества30,Указатель точности измерения элемента31,Температура точки росы,Признак качества32,Атмосферное давление на уровне станции,Признак качества33,Атмосферное давление на уровне моря,Признак качества34,Характеристика барической тенденции,Признак качества35,Величина барической тенденции,Признак качества36
10,23074,1966,1,1,21,1966,1,2,0,3,4,6,19,96.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,180.0,0,5.0,0,0.0,,7,0.0,,7,-16.0,0,,7,,7,,7,,7,-14.8,0,,7,0.0,,7,,7,,7,,7,,7,1,81.0,0,0.3,0,1,-18.0,0,997.3,0,999.8,0,7.0,0,0.2,0
11,23074,1966,1,2,0,1966,1,2,3,4,7,6,19,96.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,180.0,0,4.0,0,0.0,,7,0.0,1.5,0,-16.0,0,,7,,7,,7,,7,-15.8,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.3,0,1,-18.0,0,996.9,0,999.5,0,7.0,0,0.4,0
12,23074,1966,1,2,3,1966,1,2,6,5,10,6,19,95.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,73.0,0,180.0,0,5.0,0,0.0,,7,0.0,,7,-16.0,0,,7,,7,,7,,7,-14.4,0,,7,0.0,,7,,7,,7,,7,,7,1,83.0,0,0.3,0,1,-16.0,0,996.2,0,998.7,0,7.0,0,0.7,0
13,23074,1966,1,2,6,1966,1,2,9,6,13,6,19,95.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,73.0,0,140.0,0,3.0,0,0.0,,7,0.0,,7,-18.0,0,,7,,7,,7,,7,-16.0,0,,7,0.0,,7,,7,,7,,7,,7,1,88.0,0,0.3,0,1,-17.0,0,995.9,0,998.5,0,7.0,0,0.3,0
14,23074,1966,1,2,9,1966,1,2,12,7,16,6,19,96.0,0,0.0,10.0,0,0.0,0,8.0,0,4.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,140.0,0,3.0,0,0.0,,7,0.0,,7,-16.0,0,,7,,7,,7,,7,-15.2,0,,7,0.0,,7,,7,,7,,7,,7,1,87.0,0,0.3,0,1,-17.0,0,995.8,0,998.4,0,7.0,0,0.1,0
15,23074,1966,1,2,12,1966,1,2,15,8,19,6,19,97.0,0,0.0,10.0,0,0.0,0,8.0,0,4.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,160.0,0,5.0,0,0.0,,7,0.0,1.6,0,-16.0,0,,7,,7,,7,,7,-15.6,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.3,0,1,-18.0,0,996.2,0,998.8,0,3.0,0,0.4,0
16,23074,1966,1,2,15,1966,1,3,18,1,22,6,19,97.0,0,0.0,10.0,0,0.0,0,3.0,0,1.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,90.0,0,4.0,0,0.0,,7,0.0,,7,-22.0,0,,7,,7,,7,,7,-20.0,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.2,0,1,-22.0,0,996.2,0,998.8,0,4.0,0,0.0,0
17,23074,1966,1,2,18,1966,1,3,21,2,1,6,19,97.0,0,0.0,10.0,0,0.0,0,8.0,0,4.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,90.0,0,2.0,0,0.0,,7,0.0,,7,-22.0,0,,7,,7,,7,,7,-18.8,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.2,0,1,-21.0,0,995.8,0,998.4,0,8.0,0,0.4,0
18,23074,1966,1,2,21,1966,1,3,0,3,4,6,19,97.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,110.0,0,5.0,0,0.0,,7,0.0,,7,-23.0,0,,7,,7,,7,,7,-20.8,0,,7,0.0,,7,,7,,7,,7,,7,1,83.0,0,0.1,0,1,-23.0,0,995.9,0,998.5,0,3.0,0,0.1,0
19,23074,1966,1,3,0,1966,1,3,3,4,7,6,19,97.0,0,0.0,10.0,0,0.0,0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,160.0,0,3.0,0,0.0,,7,0.0,0.3,0,-26.0,0,,7,,7,,7,,7,-21.8,0,,7,0.0,,7,,7,,7,,7,,7,1,83.0,0,0.2,0,1,-24.0,0,996.1,0,998.7,0,2.0,0,0.2,0
20,23074,1966,1,3,3,1966,1,3,6,5,10,6,19,97.0,0,0.0,3.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,22.0,0,90.0,0,3.0,0,0.0,,7,0.0,,7,-28.0,0,,7,,7,,7,,7,-24.3,0,,7,0.0,,7,,7,,7,,7,,7,1,82.0,0,0.2,0,1,-27.0,0,996.1,0,998.7,0,4.0,0,0.0,0
21,23074,1966,1,3,6,1966,1,3,9,6,13,6,19,97.0,0,0.0,10.0,0,0.0,0,3.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,1.0,0,71.0,0,90.0,0,3.0,0,0.0,,7,0.0,,7,-29.0,0,,7,,7,,7,,7,-25.5,0,,7,0.0,,7,,7,,7,,7,,7,1,81.0,0,0.2,0,1,-29.0,0,996.1,0,998.7,0,4.0,0,0.0,0
22,23074,1966,1,3,9,1966,1,3,12,7,16,6,19,97.0,0,0.0,2.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,2.0,0,90.0,0,4.0,0,0.0,,7,0.0,,7,-32.0,0,,7,,7,,7,,7,-27.1,0,,7,0.0,,7,,7,,7,,7,,7,1,80.0,0,0.2,0,1,-29.0,0,996.1,0,998.7,0,4.0,0,0.0,0
23,23074,1966,1,3,12,1966,1,3,15,8,19,6,19,97.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,22.0,0,90.0,0,4.0,0,0.0,,7,0.0,0.5,0,-34.0,0,,7,,7,,7,,7,-30.6,0,,7,0.0,,7,,7,,7,,7,,7,1,78.0,0,0.1,0,1,-33.0,0,996.1,0,998.7,0,4.0,0,0.0,0
24,23074,1966,1,3,15,1966,1,4,18,1,22,6,19,97.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,76.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-36.0,0,,7,,7,,7,,7,-31.8,0,,7,0.0,,7,,7,,7,,7,,7,1,78.0,0,0.1,0,1,-34.0,0,996.3,0,998.9,0,3.0,0,0.2,0
25,23074,1966,1,3,18,1966,1,4,21,2,1,6,19,96.0,0,0.0,2.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,76.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-36.0,0,,7,,7,,7,,7,-33.0,0,,7,0.0,,7,,7,,7,,7,,7,1,77.0,0,0.1,0,1,-36.0,0,996.7,0,999.3,0,2.0,0,0.4,0
26,23074,1966,1,3,21,1966,1,4,0,3,4,6,19,97.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,76.0,0,320.0,0,2.0,0,0.0,,7,0.0,,7,-36.0,0,,7,,7,,7,,7,-36.0,0,,7,0.0,,7,,7,,7,,7,,7,1,75.0,0,0.1,0,1,-39.0,0,998.1,0,1000.8,0,2.0,0,1.4,0
27,23074,1966,1,4,0,1966,1,4,3,4,7,6,19,97.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,76.0,0,320.0,0,3.0,0,0.0,,7,0.0,0.2,0,-36.0,0,,7,,7,,7,,7,-35.8,0,,7,0.0,,7,,7,,7,,7,,7,1,74.0,0,0.1,0,1,-39.0,0,1000.2,0,1002.9,0,2.0,0,2.1,0
28,23074,1966,1,4,3,1966,1,4,6,5,10,6,19,96.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-36.0,0,,7,,7,,7,,7,-35.8,0,,7,0.0,,7,,7,,7,,7,,7,1,74.0,0,0.1,0,1,-39.0,0,1002.3,0,1005.0,0,2.0,0,2.1,0
29,23074,1966,1,4,6,1966,1,4,9,6,13,6,19,95.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-39.0,0,,7,,7,,7,,7,-40.6,0,,7,0.0,,7,,7,,7,,7,,7,1,74.0,0,0.0,0,1,-44.0,0,1004.9,0,1007.6,0,2.0,0,2.6,0
30,23074,1966,1,4,9,1966,1,4,12,7,16,6,19,93.0,0,0.0,12.0,0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,47.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-40.0,0,,7,,7,,7,,7,-40.4,0,,7,0.0,,7,,7,,7,,7,,7,1,73.0,0,0.0,0,1,-43.0,0,1007.9,0,1010.6,0,2.0,0,3.0,0
31,23074,1966,1,4,12,1966,1,4,15,8,19,6,19,95.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,0.0,5,-40.0,0,,7,,7,,7,,7,-41.3,0,,7,0.0,,7,,7,,7,,7,,7,1,73.0,0,0.0,0,1,-44.0,0,1010.9,0,1013.6,0,2.0,0,3.0,0
32,23074,1966,1,4,15,1966,1,5,18,1,22,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-42.0,0,,7,,7,,7,,7,-42.1,0,,7,0.0,,7,,7,,7,,7,,7,1,73.0,0,0.0,0,1,-45.0,0,1012.9,0,1015.6,0,2.0,0,2.0,0
33,23074,1966,1,4,18,1966,1,5,21,2,1,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-44.0,0,,7,,7,,7,,7,-43.3,0,,7,0.0,,7,,7,,7,,7,,7,1,72.0,0,0.0,0,1,-46.0,0,1014.9,0,1017.6,0,2.0,0,2.0,0
34,23074,1966,1,4,21,1966,1,5,0,3,4,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-45.0,0,,7,,7,,7,,7,-45.1,0,,7,0.0,,7,,7,,7,,7,,7,1,71.0,0,0.0,0,1,-48.0,0,1016.8,0,1019.6,0,2.0,0,1.9,0
35,23074,1966,1,5,0,1966,1,5,3,4,7,6,19,95.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,90.0,0,3.0,0,0.0,,7,0.0,0.0,5,-47.0,0,,7,,7,,7,,7,-47.0,0,,7,0.0,,7,,7,,7,,7,,7,1,70.0,0,0.0,0,1,-50.0,0,1018.4,0,1021.2,0,2.0,0,1.6,0
36,23074,1966,1,5,3,1966,1,5,6,5,10,6,19,95.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,90.0,0,2.0,0,0.0,,7,0.0,,7,-47.0,0,,7,,7,,7,,7,-47.2,0,,7,0.0,,7,,7,,7,,7,,7,1,70.0,0,0.0,0,1,-50.0,0,1019.0,0,1021.8,0,2.0,0,0.6,0
37,23074,1966,1,5,6,1966,1,5,9,6,13,6,19,94.0,0,0.0,7.0,0,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,90.0,0,2.0,0,0.0,,7,0.0,,7,-42.0,0,,7,,7,,7,,7,-45.1,0,,7,0.0,,7,,7,,7,,7,,7,1,70.0,0,0.0,0,1,-48.0,0,1020.0,0,1022.8,0,2.0,0,1.0,0
38,23074,1966,1,5,9,1966,1,5,12,7,16,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,90.0,0,1.0,0,0.0,,7,0.0,,7,-43.0,0,,7,,7,,7,,7,-42.3,0,,7,0.0,,7,,7,,7,,7,,7,1,71.0,0,0.0,0,1,-45.0,0,1020.8,0,1023.6,0,2.0,0,0.8,0
39,23074,1966,1,5,12,1966,1,5,15,8,19,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,90.0,0,2.0,0,0.0,,7,0.0,0.0,5,-41.0,0,,7,,7,,7,,7,-40.0,0,,7,0.0,,7,,7,,7,,7,,7,1,72.0,0,0.1,0,1,-43.0,0,1021.5,0,1024.3,0,2.0,0,0.7,0
40,23074,1966,1,5,15,1966,1,6,18,1,22,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,90.0,0,1.0,0,0.0,,7,0.0,,7,-41.0,0,,7,,7,,7,,7,-40.7,0,,7,0.0,,7,,7,,7,,7,,7,1,73.0,0,0.0,0,1,-44.0,0,1022.0,0,1024.8,0,2.0,0,0.5,0
41,23074,1966,1,5,18,1966,1,6,21,2,1,6,19,94.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,10.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-43.0,0,,7,,7,,7,,7,-43.1,0,,7,0.0,,7,,7,,7,,7,,7,1,72.0,0,0.0,0,1,-46.0,0,1022.4,0,1025.2,0,2.0,0,0.4,0
42,23074,1966,1,5,21,1966,1,6,0,3,4,6,19,93.0,0,0.0,12.0,0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,0.0,0,46.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-46.0,0,,7,,7,,7,,7,-43.7,0,,7,0.0,,7,,7,,7,,7,,7,1,71.0,0,0.0,0,1,-47.0,0,1023.0,0,1025.8,0,2.0,0,0.6,0
43,23074,1966,1,6,0,1966,1,6,3,4,7,6,19,93.0,0,0.0,12.0,0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,0.0,0,0.0,0,0.0,,7,0.0,0.3,0,-45.0,0,,7,,7,,7,,7,-45.9,0,,7,0.0,,7,,7,,7,,7,,7,1,71.0,0,0.0,0,1,-49.0,0,1023.5,0,1026.3,0,2.0,0,0.5,0
44,23074,1966,1,6,3,1966,1,6,6,5,10,6,19,93.0,0,0.0,12.0,0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,44.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-46.0,0,,7,,7,,7,,7,-46.1,0,,7,0.0,,7,,7,,7,,7,,7,1,70.0,0,0.0,0,1,-49.0,0,1024.3,0,1027.1,0,2.0,0,0.8,0
45,23074,1966,1,6,6,1966,1,6,9,6,13,6,19,93.0,0,0.0,6.0,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-46.0,0,,7,,7,,7,,7,-47.0,0,,7,0.0,,7,,7,,7,,7,,7,1,70.0,0,0.0,0,1,-50.0,0,1024.6,0,1027.4,0,2.0,0,0.3,0
46,23074,1966,1,6,9,1966,1,6,12,7,16,6,19,95.0,0,0.0,2.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,10.0,0,290.0,0,1.0,0,0.0,,7,0.0,,7,-46.0,0,,7,,7,,7,,7,-47.2,0,,7,0.0,,7,,7,,7,,7,,7,1,69.0,0,0.0,0,1,-50.0,0,1025.8,0,1028.6,0,2.0,0,1.2,0
47,23074,1966,1,6,12,1966,1,6,15,8,19,6,19,92.0,0,0.0,8.0,0,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,0.0,0,0.0,0,0.0,,7,0.0,0.2,0,-46.0,0,,7,,7,,7,,7,-47.3,0,,7,0.0,,7,,7,,7,,7,,7,1,69.0,0,0.0,0,1,-50.0,0,1026.8,0,1029.6,0,2.0,0,1.0,0
48,23074,1966,1,6,15,1966,1,7,18,1,22,6,19,93.0,0,0.0,12.0,0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,0.0,0,0.0,0,0.0,,7,0.0,,7,-49.0,0,,7,,7,,7,,7,-49.8,0,,7,0.0,,7,,7,,7,,7,,7,1,69.0,0,0.0,0,1,-53.0,0,1026.4,0,1029.2,0,8.0,0,0.4,0
49,23074,1966,1,6,18,1966,1,7,21,2,1,6,19,95.0,0,0.0,12.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,4.0,0,48.0,0,90.0,0,2.0,0,0.0,,7,0.0,,7,-46.0,0,,7,,7,,7,,7,-49.1,0,,7,0.0,,7,,7,,7,,7,,7,1,69.0,0,0.0,0,1,-52.0,0,1025.9,0,1028.7,0,7.0,0,0.5,0
50,23074,1966,1,6,21,1966,1,7,0,3,4,6,19,95.0,0,0.0,12.0,0,0.0,0,1.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,1.0,0,73.0,0,90.0,0,4.0,0,0.0,,7,0.0,,7,-44.0,0,,7,,7,,7,,7,-44.8,0,,7,0.0,,7,,7,,7,,7,,7,1,71.0,0,0.0,0,1,-48.0,0,1025.0,0,1027.8,0,7.0,0,0.9,0
51,23074,1966,1,7,0,1966,1,7,3,4,7,6,19,96.0,0,0.0,4.0,0,0.0,0,1.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,90.0,0,2.0,0,0.0,,7,0.0,0.3,0,-44.0,0,,7,,7,,7,,7,-42.1,0,,7,0.0,,7,,7,,7,,7,,7,1,72.0,0,0.0,0,1,-45.0,0,1024.3,0,1027.1,0,7.0,0,0.7,0
